epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5369,3.00334,4.02998,3.82489,0.69832,0.0376,0.02183,0.00696,2.48726,3.21861,3.76548,0.000474522,0.000474522,0.000474522
2,86.7945,2.39561,3.07299,2.94452,0.7428,0.0846,0.07448,0.02356,2.23744,2.71115,2.99311,0.000941442,0.000941442,0.000941442
3,124.104,2.14714,2.61625,2.66614,0.83015,0.17955,0.19084,0.06533,2.05469,2.34357,2.77881,0.00139893,0.00139893,0.00139893
4,161.319,2.02556,2.38715,2.54085,0.86493,0.20802,0.25046,0.10879,1.87944,1.97599,2.59378,0.00138656,0.00138656,0.00138656
5,198.734,1.92219,2.19036,2.41045,0.49297,0.3698,0.27316,0.11708,1.81326,1.91741,2.53424,0.00137241,0.00137241,0.00137241
6,236.901,1.8457,2.06611,2.33423,0.88225,0.22198,0.28517,0.13798,1.75622,1.64328,2.3745,0.00135826,0.00135826,0.00135826
7,282.311,1.76613,1.93879,2.23185,0.54254,0.41254,0.31499,0.16402,1.62978,1.50689,2.28338,0.00134412,0.00134412,0.00134412
8,322.682,1.70934,1.84252,2.1734,0.89289,0.25961,0.32404,0.16561,1.66503,1.54675,2.31131,0.00132997,0.00132997,0.00132997
9,360.895,1.67118,1.77342,2.13411,0.54372,0.52104,0.36213,0.19889,1.58092,1.26926,2.24038,0.00131582,0.00131582,0.00131582
10,401.471,1.61966,1.71348,2.07613,0.56423,0.58942,0.34392,0.17969,1.6141,1.32235,2.25171,0.00130168,0.00130168,0.00130168
11,443.726,1.58222,1.64855,2.05488,0.22159,0.55203,0.36619,0.21037,1.43471,1.24496,2.04421,0.00128753,0.00128753,0.00128753
12,483.088,1.5411,1.6104,2.02364,0.55792,0.55527,0.34893,0.19453,1.47154,1.28153,2.09571,0.00127338,0.00127338,0.00127338
13,521.249,1.49973,1.54454,1.98496,0.31562,0.59362,0.40504,0.23263,1.52822,1.15796,2.06858,0.00125923,0.00125923,0.00125923
14,561.91,1.50076,1.53614,1.97015,0.325,0.66442,0.41026,0.2575,1.35375,1.12709,1.95268,0.00124509,0.00124509,0.00124509
15,599.773,1.45555,1.48781,1.9357,0.6072,0.54123,0.37683,0.21942,1.57818,1.23009,2.20207,0.00123094,0.00123094,0.00123094
16,640.325,1.43051,1.46405,1.91366,0.41178,0.67034,0.42556,0.27855,1.28861,1.08222,1.88315,0.00121679,0.00121679,0.00121679
17,680.644,1.39982,1.42363,1.8877,0.28515,0.88168,0.39356,0.22452,1.47895,1.21475,2.08668,0.00120265,0.00120265,0.00120265
18,720.881,1.36866,1.37692,1.84971,0.30486,0.61555,0.4357,0.29306,1.23462,1.07402,1.84383,0.0011885,0.0011885,0.0011885
19,758.139,1.36185,1.3734,1.84647,0.33478,0.67106,0.44614,0.28967,1.21461,1.04261,1.79724,0.00117435,0.00117435,0.00117435
20,796.624,1.33941,1.33975,1.81982,0.33206,0.80711,0.42996,0.28696,1.19189,1.07662,1.76361,0.00116021,0.00116021,0.00116021
21,834.156,1.33887,1.34244,1.81729,0.34124,0.84006,0.44436,0.28177,1.29828,1.0626,1.89798,0.00114606,0.00114606,0.00114606
22,871.854,1.30963,1.32179,1.79186,0.37529,0.77185,0.46275,0.32856,1.09103,0.91567,1.63658,0.00113191,0.00113191,0.00113191
23,911.048,1.27796,1.29013,1.76765,0.37621,0.80256,0.48288,0.34092,1.0902,0.92669,1.67837,0.00111776,0.00111776,0.00111776
24,954.023,1.27257,1.27527,1.76017,0.34825,0.77017,0.44438,0.27511,1.35696,1.06636,2.03616,0.00110362,0.00110362,0.00110362
25,991.182,1.25078,1.2524,1.754,0.37745,0.86186,0.46719,0.31402,1.19666,0.92857,1.82584,0.00108947,0.00108947,0.00108947
26,1028.46,1.23404,1.2319,1.73065,0.38843,0.76505,0.48285,0.35205,1.02282,0.8789,1.61064,0.00107532,0.00107532,0.00107532
27,1066.81,1.22398,1.22521,1.71538,0.39153,0.80098,0.4712,0.32542,1.20005,0.91728,1.79975,0.00106118,0.00106118,0.00106118
28,1105.08,1.19947,1.20447,1.69478,0.37098,0.7986,0.47785,0.33597,1.09335,0.90386,1.6578,0.00104703,0.00104703,0.00104703
29,1142.98,1.2097,1.17678,1.70409,0.41564,0.73022,0.50105,0.3378,1.19904,0.90535,1.83708,0.00103288,0.00103288,0.00103288
30,1181.13,1.18877,1.18522,1.68723,0.39503,0.76882,0.4863,0.32558,1.15485,0.9467,1.77775,0.00101873,0.00101873,0.00101873
31,1217.99,1.16439,1.15091,1.67171,0.40032,0.70848,0.49618,0.37279,0.98186,0.85276,1.54917,0.00100459,0.00100459,0.00100459
32,1255.33,1.1674,1.15314,1.66445,0.40833,0.76689,0.49064,0.33193,1.16959,0.90704,1.81185,0.00099044,0.00099044,0.00099044
33,1292.91,1.15767,1.15687,1.65365,0.42354,0.77029,0.51857,0.37494,1.0431,0.81869,1.6085,0.000976293,0.000976293,0.000976293
34,1330.56,1.14107,1.11983,1.64908,0.43186,0.77124,0.54244,0.37759,1.12179,0.84736,1.72051,0.000962146,0.000962146,0.000962146
35,1367.94,1.14022,1.12485,1.65256,0.39162,0.8373,0.53116,0.36994,1.01705,0.83523,1.57373,0.000947999,0.000947999,0.000947999
36,1406.42,1.12164,1.09591,1.63321,0.42656,0.83815,0.5138,0.37964,1.00265,0.81376,1.58261,0.000933851,0.000933851,0.000933851
37,1445.1,1.10911,1.08216,1.60992,0.40546,0.85335,0.49834,0.36132,1.02862,0.84154,1.61193,0.000919704,0.000919704,0.000919704
38,1487.26,1.11342,1.10095,1.60736,0.41188,0.81989,0.50167,0.37382,0.98609,0.84196,1.53133,0.000905557,0.000905557,0.000905557
39,1529.75,1.09787,1.09044,1.59842,0.43686,0.82977,0.52399,0.39853,0.94906,0.79302,1.5355,0.00089141,0.00089141,0.00089141
40,1567.47,1.08724,1.07601,1.5944,0.392,0.86999,0.50933,0.36868,1.02801,0.81498,1.59169,0.000877263,0.000877263,0.000877263
41,1605.97,1.08893,1.06418,1.59463,0.41115,0.81989,0.51598,0.36027,1.09703,0.84635,1.69218,0.000863116,0.000863116,0.000863116
