epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.0274,3.04331,4.35445,4.27952,0.00331,0.75,0.00384,0.00146,2.0306,3.59609,4.15731,0.00013336,0.00013336,0.00013336
2,7.42427,2.94417,4.34454,4.24245,0.00324,0.72222,0.0034,0.0013,2.03098,3.59914,4.15048,0.000283109,0.000283109,0.000283109
3,9.90408,3.02756,4.3015,4.19532,0.00337,0.77778,0.00351,0.00142,2.03402,3.59123,4.13581,0.000432562,0.000432562,0.000432562
4,11.8204,3.13728,4.55257,4.16113,0.00349,0.75,0.00389,0.00166,2.02583,3.58589,4.11338,0.000581717,0.000581717,0.000581717
5,14.133,2.87498,4.18675,4.09866,0.00361,0.80556,0.00384,0.00153,1.98131,3.5898,4.07078,0.000730575,0.000730575,0.000730575
6,16.5229,3.03914,4.21388,4.10976,0.00352,0.77778,0.00549,0.00255,1.91583,3.58871,4.02759,0.000879137,0.000879137,0.000879137
7,18.3825,3.04792,3.90728,3.97242,0.00384,0.91667,0.00582,0.00281,1.79439,3.41846,3.99825,0.0010274,0.0010274,0.0010274
8,20.669,2.87864,4.05108,3.82654,0.00166,0.58333,0.06106,0.02744,1.84758,3.36513,3.9365,0.00117537,0.00117537,0.00117537
9,22.4487,2.963,4.04223,3.73886,0.00127,0.52778,0.00571,0.00121,2.44992,3.48976,4.36574,0.00132304,0.00132304,0.00132304
10,24.4202,3.00926,3.73763,3.72899,0.00319,0.88889,0.08699,0.0244,2.51327,3.60227,3.22503,0.00147041,0.00147041,0.00147041
11,26.2997,2.97555,3.37372,3.53123,0.00298,0.86111,0.11118,0.02177,2.45874,3.23569,3.29971,0.00161749,0.00161749,0.00161749
12,28.2946,2.93819,3.80903,3.60142,0.02432,0.55556,0.03364,0.00755,2.79863,5.42329,3.98627,0.00164885,0.00164885,0.00164885
13,30.1275,2.88159,3.86619,3.43415,0.51618,0.13889,0.10642,0.02601,2.67921,4.74548,3.76741,0.0016472,0.0016472,0.0016472
