epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.53896,2.28347,3.83293,4.17087,0.02571,0.44558,0.02258,0.00607,2.23254,3.36635,3.9948,0.000548055,0.000548055,0.000548055
2,19.5778,2.34189,3.16466,3.78356,0.45043,0.27551,0.25773,0.05085,2.37418,5.86845,4.55375,0.00109279,0.00109279,0.00109279
3,29.3494,2.31989,2.59856,3.52573,0.20766,0.52041,0.20722,0.05216,2.51629,4.06182,4.58157,0.00162653,0.00162653,0.00162653
4,38.9638,2.25302,2.21928,3.46555,0.03591,0.18367,0.03381,0.00976,2.30302,3.60567,3.66009,0.00161749,0.00161749,0.00161749
5,48.6789,2.1574,1.98945,3.50914,0.62777,0.66156,0.64352,0.22937,2.16874,2.90879,3.34329,0.00160099,0.00160099,0.00160099
6,58.2035,2.03986,1.75928,3.45363,0.75964,0.70408,0.81018,0.40562,1.83722,1.61497,3.15189,0.00158448,0.00158448,0.00158448
7,67.891,1.90205,1.65561,3.37583,0.76787,0.85511,0.93471,0.53837,1.54448,1.36595,3.00333,0.00156798,0.00156798,0.00156798
8,77.5619,1.83275,1.56736,3.25923,0.81912,0.94898,0.92545,0.55558,1.52056,1.25145,2.97434,0.00155148,0.00155148,0.00155148
9,87.1304,1.74979,1.47901,3.17557,0.74169,0.79762,0.86884,0.5439,1.48027,1.35266,2.81066,0.00153497,0.00153497,0.00153497
10,96.7192,1.73284,1.41644,3.13345,0.82546,0.85848,0.92789,0.56923,1.48011,1.17306,2.79691,0.00151847,0.00151847,0.00151847
11,106.445,1.69053,1.36233,3.09855,0.87273,0.92347,0.9581,0.59468,1.40293,0.915,2.70605,0.00150197,0.00150197,0.00150197
12,115.51,1.63969,1.33455,3.03029,0.9238,0.89936,0.95946,0.57837,1.40737,1.22926,2.87352,0.00148546,0.00148546,0.00148546
13,126.016,1.59426,1.27642,3.00929,0.92827,0.90476,0.96525,0.67139,1.20214,0.93431,2.67482,0.00146896,0.00146896,0.00146896
14,135.828,1.54486,1.23925,2.92867,0.95148,0.92177,0.97183,0.69168,1.12149,0.97722,2.51733,0.00145246,0.00145246,0.00145246
15,145.439,1.53362,1.18715,2.88577,0.94469,0.91288,0.97266,0.68525,1.09625,0.90713,2.53971,0.00143595,0.00143595,0.00143595
16,155.128,1.48168,1.15967,2.84018,0.95612,0.96599,0.9867,0.70068,1.12114,0.85678,2.57791,0.00141945,0.00141945,0.00141945
17,164.971,1.47302,1.13157,2.84778,0.973,0.88612,0.97084,0.69276,1.16509,0.80292,2.55682,0.00140295,0.00140295,0.00140295
18,174.526,1.45354,1.1603,2.80779,0.95825,0.94697,0.98704,0.73913,1.00616,0.71791,2.45835,0.00138644,0.00138644,0.00138644
19,184.147,1.40489,1.08716,2.76756,0.94043,0.95748,0.98252,0.72412,1.01808,0.74681,2.46196,0.00136994,0.00136994,0.00136994
20,193.993,1.36639,1.02634,2.70929,0.95134,0.89077,0.96033,0.73953,0.97623,0.85322,2.40933,0.00135344,0.00135344,0.00135344
21,204.223,1.366,1.0161,2.70764,0.96908,0.97959,0.9944,0.78346,0.90416,0.71993,2.34765,0.00133693,0.00133693,0.00133693
22,213.063,1.33206,1.01339,2.70626,0.90248,0.94937,0.99407,0.73685,0.95693,0.76689,2.50205,0.00132043,0.00132043,0.00132043
23,222.454,1.33151,0.9885,2.66627,0.98575,0.98639,0.99334,0.76316,0.90483,0.7643,2.34935,0.00130393,0.00130393,0.00130393
24,231.728,1.32438,0.9838,2.67198,0.95206,0.92347,0.96966,0.73274,0.93254,0.87852,2.48293,0.00128742,0.00128742,0.00128742
25,241.017,1.29543,0.97082,2.62983,0.99436,0.97959,0.9946,0.79999,0.88773,0.58055,2.36711,0.00127092,0.00127092,0.00127092
26,250.4,1.26133,0.95216,2.61416,0.98526,0.97959,0.989,0.79883,0.83472,0.56816,2.26795,0.00125442,0.00125442,0.00125442
27,259.495,1.21039,0.92082,2.554,0.98774,0.99892,0.9946,0.80826,0.8452,0.5476,2.12153,0.00123791,0.00123791,0.00123791
28,268.931,1.24992,0.93001,2.59536,0.95127,0.95798,0.99156,0.79443,0.87619,0.61805,2.31167,0.00122141,0.00122141,0.00122141
29,278.616,1.23373,0.90232,2.59379,0.97772,0.99481,0.995,0.78593,0.86042,0.57251,2.25985,0.00120491,0.00120491,0.00120491
30,287.901,1.22242,0.89665,2.50342,0.98728,0.99181,0.995,0.8117,0.79439,0.54702,2.25088,0.0011884,0.0011884,0.0011884
31,297.294,1.21504,0.87823,2.52377,0.99591,1,0.995,0.83943,0.75969,0.50398,2.06142,0.0011719,0.0011719,0.0011719
32,306.67,1.18254,0.84388,2.4741,0.9878,1,0.9948,0.80653,0.80804,0.49678,2.16054,0.0011554,0.0011554,0.0011554
33,315.83,1.18257,0.86155,2.49844,0.98643,0.99023,0.995,0.83482,0.75435,0.51745,2.2629,0.00113889,0.00113889,0.00113889
34,325.129,1.17897,0.86444,2.45523,0.96603,1,0.995,0.81844,0.81042,0.531,2.10179,0.00112239,0.00112239,0.00112239
35,334.585,1.19373,0.85798,2.48331,0.9956,0.99645,0.995,0.83638,0.74206,0.49281,2.05886,0.00110589,0.00110589,0.00110589
