epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.8349,2.49981,3.80238,4.13641,0.24095,0.40811,0.20472,0.07391,2.04061,3.18761,3.85189,0.00332779,0.00332779,0.00332779
2,159.412,2.04979,2.292,3.59682,0.64638,0.65198,0.63988,0.34814,1.5243,1.68288,3.24695,0.00659518,0.00659518,0.00659518
3,235.059,1.69262,1.66476,3.2612,0.74189,0.74211,0.74766,0.46142,1.28995,1.22675,2.91951,0.00979656,0.00979656,0.00979656
4,310.57,1.49374,1.33671,3.09214,0.77893,0.8231,0.80247,0.51395,1.16921,1.0902,2.75725,0.009703,0.009703,0.009703
5,386.056,1.35789,1.14944,2.9815,0.76884,0.86739,0.82349,0.56049,1.0576,0.83278,2.61285,0.009604,0.009604,0.009604
6,461.731,1.27318,1.05374,2.89936,0.81635,0.8663,0.8341,0.58846,1.00714,0.78849,2.59856,0.009505,0.009505,0.009505
7,537.016,1.21915,0.98206,2.83271,0.82902,0.89062,0.84637,0.60324,0.96299,0.68829,2.497,0.009406,0.009406,0.009406
8,612.374,1.17292,0.93028,2.76884,0.85716,0.89068,0.87418,0.63258,0.91569,0.67939,2.42982,0.009307,0.009307,0.009307
9,687.587,1.1488,0.90028,2.72752,0.86306,0.88686,0.86707,0.63675,0.90671,0.6371,2.42446,0.009208,0.009208,0.009208
10,762.696,1.12183,0.86993,2.69244,0.85376,0.90699,0.87476,0.64514,0.85384,0.62759,2.35641,0.009109,0.009109,0.009109
11,837.26,1.10127,0.83683,2.65985,0.86005,0.90868,0.88713,0.66348,0.84653,0.59943,2.31304,0.00901,0.00901,0.00901
12,912.03,1.08665,0.82321,2.61949,0.86569,0.91281,0.89214,0.67057,0.83762,0.58372,2.27579,0.008911,0.008911,0.008911
13,986.88,1.07238,0.81463,2.60729,0.87066,0.9231,0.89252,0.67663,0.8163,0.57985,2.25666,0.008812,0.008812,0.008812
14,1061.93,1.04702,0.78509,2.57679,0.87526,0.91987,0.90331,0.69537,0.7931,0.55491,2.23155,0.008713,0.008713,0.008713
15,1136.72,1.04208,0.78611,2.56522,0.86959,0.92468,0.90966,0.70169,0.76329,0.55772,2.22017,0.008614,0.008614,0.008614
16,1211.36,1.02754,0.76591,2.55247,0.87236,0.93986,0.91366,0.70675,0.76531,0.53304,2.17842,0.008515,0.008515,0.008515
17,1286.18,1.03329,0.767,2.54421,0.8757,0.93048,0.91052,0.70403,0.76098,0.5316,2.15181,0.008416,0.008416,0.008416
18,1361.59,1.00896,0.74819,2.52326,0.8832,0.93505,0.91471,0.71481,0.74778,0.53467,2.17033,0.008317,0.008317,0.008317
19,1436.73,0.99389,0.73104,2.48502,0.87223,0.93937,0.91392,0.72702,0.72619,0.53172,2.10326,0.008218,0.008218,0.008218
20,1511.27,0.99313,0.73472,2.48894,0.87595,0.93916,0.91565,0.7239,0.72298,0.50714,2.11332,0.008119,0.008119,0.008119
21,1585.81,0.98569,0.72908,2.48206,0.8795,0.93686,0.9188,0.72511,0.71716,0.51203,2.11554,0.00802,0.00802,0.00802
22,1662.56,0.97127,0.71228,2.46204,0.88001,0.94651,0.91682,0.729,0.70528,0.5068,2.06622,0.007921,0.007921,0.007921
23,1738.15,0.96989,0.71261,2.44347,0.87754,0.94242,0.91815,0.73124,0.69132,0.50407,2.04975,0.007822,0.007822,0.007822
24,1813.79,0.95678,0.70089,2.4175,0.88176,0.9398,0.92024,0.73833,0.69215,0.49074,2.02299,0.007723,0.007723,0.007723
25,1889.11,0.95801,0.69659,2.42648,0.8816,0.94775,0.917,0.73833,0.68002,0.49174,2.03205,0.007624,0.007624,0.007624
26,1964.47,0.94985,0.69535,2.41216,0.88793,0.93784,0.92476,0.75014,0.67498,0.48324,2.02791,0.007525,0.007525,0.007525
27,2044.97,0.94012,0.68933,2.39764,0.89069,0.93981,0.92485,0.75126,0.66323,0.49248,1.98922,0.007426,0.007426,0.007426
28,2129.72,0.93246,0.67951,2.39162,0.88137,0.94863,0.93397,0.75961,0.65254,0.48072,1.97795,0.007327,0.007327,0.007327
29,2213.07,0.92988,0.68307,2.38192,0.88596,0.93909,0.92641,0.75631,0.65406,0.48114,1.97917,0.007228,0.007228,0.007228
30,2297.43,0.92096,0.66909,2.36959,0.88061,0.94883,0.93473,0.76948,0.65116,0.4717,1.95001,0.007129,0.007129,0.007129
31,2381.71,0.91227,0.66564,2.35311,0.88529,0.95098,0.92415,0.76691,0.63585,0.46994,1.94564,0.00703,0.00703,0.00703
32,2465.8,0.91195,0.66459,2.35149,0.88497,0.94651,0.93225,0.76903,0.64416,0.47315,1.93648,0.006931,0.006931,0.006931
33,2550.36,0.90983,0.65888,2.34048,0.89321,0.94215,0.93041,0.76998,0.6311,0.46778,1.91694,0.006832,0.006832,0.006832
34,2634.34,0.90709,0.65925,2.34872,0.88018,0.95239,0.9352,0.77758,0.63162,0.46179,1.9009,0.006733,0.006733,0.006733
35,2718.67,0.89826,0.65259,2.33274,0.87888,0.95951,0.9377,0.78019,0.62081,0.46287,1.88374,0.006634,0.006634,0.006634
36,2803.58,0.89221,0.65052,2.32439,0.89682,0.9426,0.9353,0.7815,0.61476,0.45807,1.87948,0.006535,0.006535,0.006535
37,2887.87,0.88497,0.64253,2.31511,0.88503,0.95583,0.93345,0.7844,0.6117,0.4531,1.87925,0.006436,0.006436,0.006436
38,2972.06,0.87919,0.63615,2.30311,0.89047,0.94752,0.93734,0.78519,0.60768,0.45534,1.86817,0.006337,0.006337,0.006337
39,3056.31,0.87225,0.63476,2.30175,0.89326,0.95213,0.93742,0.7873,0.5977,0.45346,1.87338,0.006238,0.006238,0.006238
40,3139.68,0.87547,0.63775,2.30261,0.88665,0.95046,0.9333,0.78806,0.59316,0.4474,1.85837,0.006139,0.006139,0.006139
41,3223.54,0.87427,0.63397,2.29214,0.88876,0.94703,0.9306,0.78507,0.59963,0.44792,1.85262,0.00604,0.00604,0.00604
42,3307.21,0.86564,0.62352,2.2832,0.88398,0.95339,0.93671,0.79346,0.59564,0.44564,1.85258,0.005941,0.005941,0.005941
